,Model,accuracy,precision,recall,f1-score,roc-auc-score
0,Logistic Regression,0.9998818498881763,0.0,0.0,0.0,0.5
1,Random Forest,0.9998818498881763,0.0,0.0,0.0,0.5
2,KNN,0.9998818498881763,0.0,0.0,0.0,0.5
3,SVM,0.9998818498881763,0.0,0.0,0.0,0.5
4,Decision Tree,0.9997727881035285,0.0,0.0,0.0,0.4999409179532161
5,XGBoost,0.9998818498881763,0.0,0.0,0.0,0.5
0,Logistic Regression-undersampler,0.7527272727272727,0.76,0.7307692307692307,0.7450980392156863,0.75
1,Random Forest-undersampler,0.650909090909091,0.5666666666666667,0.6538461538461539,0.6071428571428571,0.5769230769230769
2,KNN-undersampler,0.8327272727272728,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.826923076923077
3,SVM-undersampler,0.7545454545454545,0.76,0.7307692307692307,0.7450980392156863,0.75
4,Decision Tree-undersampler,0.7127272727272727,0.85,0.6538461538461539,0.7391304347826088,0.7692307692307692
5,XGBoost-undersampler,0.6727272727272726,0.6666666666666666,0.6923076923076923,0.6792452830188679,0.6730769230769231
0,Logistic Regression-oversampler,0.9026691509312501,0.8905807100064802,0.9181440965673331,0.9041523823163473,0.9026691450827831
1,Random Forest-oversampler,0.999993182851083,0.9999909104956507,0.9999954552271705,0.9999931828562469,0.9999931828407557
2,KNN-oversampler,0.9995091643485072,0.9990192918015519,1.0,0.9995094053356712,0.9995091645344107
3,SVM-oversampler,0.9992319331439358,0.9984662228696153,1.0,0.999232522865369,0.9992319333918095
4,Decision Tree-oversampler,0.9996273284265863,0.9994321459884521,0.9998591120422846,0.9996455834242094,0.9996455077192966
5,XGBoost-oversampler,0.999913649249109,0.9998273284530902,1.0,0.9999136567720357,0.9999136493162389
